,recipe_name,recipe_link,category
157,Feel good chicken broth,https://www.jamieoliver.com/recipes/chicken-recipes/feel-good-chicken-broth/,chicken
158,Empire roast chicken,https://www.jamieoliver.com/recipes/chicken-recipes/empire-roast-chicken/,chicken
159,Easy chicken stock,https://www.jamieoliver.com/recipes/chicken-recipes/easy-chicken-stock/,chicken
160,Crunchy garlic chicken,https://www.jamieoliver.com/recipes/chicken-recipes/crunchy-garlic-chicken/,chicken
161,"Chicken, sausage & prawn jambalaya",https://www.jamieoliver.com/recipes/chicken-recipes/chicken-sausage-prawn-jambalaya/,chicken
162,Good old chicken tikka masala,https://www.jamieoliver.com/recipes/chicken-recipes/good-old-chicken-tikka-masala/,chicken
163,Chicken salad,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-salad/,chicken
164,Chicken in milk,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-in-milk/,chicken
165,Chicken chow mein,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-chow-mein/,chicken
166,Chicken and mushroom pasta bake (Spaghetti tetrazzini),https://www.jamieoliver.com/recipes/pasta-recipes/chicken-and-mushroom-pasta-bake-spaghetti-tetrazzini/,chicken
167,Barbecued Thai chicken legs,https://www.jamieoliver.com/recipes/chicken-recipes/barbecued-thai-chicken-legs/,chicken
168,Barbecued chicken,https://www.jamieoliver.com/recipes/chicken-recipes/barbecued-chicken/,chicken
169,Chicken &amp; squash cacciatore,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-squash-cacciatore/,chicken
170,All-in-one rice & chicken,https://www.jamieoliver.com/recipes/chicken-recipes/all-in-one-rice-amp-chicken/,chicken
0,Romesh Ranganathan's epic veg lasagne,https://www.jamieoliver.com/recipes/pasta-recipes/romesh-ranganathan-s-epic-veg-lasagne/,pasta
1,Danny Devito's family pasta,https://www.jamieoliver.com/recipes/pasta-recipes/danny-devito-s-family-pasta/,pasta
2,Summer veg lasagne,https://www.jamieoliver.com/recipes/pasta-recipes/summer-veg-lasagne/,pasta
3,Aubergine & black chickpea orecchiette,https://www.jamieoliver.com/recipes/pasta-recipes/aubergine-black-chickpea-orecchiette/,pasta
4,Potato gnocchi,https://www.jamieoliver.com/recipes/potato-recipes/potato-gnocchi/,pasta
5,Orecchiette,https://www.jamieoliver.com/recipes/pasta-recipes/orecchiette/,pasta
6,Sausage linguine,https://www.jamieoliver.com/recipes/pasta-recipes/sausage-linguine/,pasta
7,Tuna fettuccine,https://www.jamieoliver.com/recipes/pasta-recipes/tuna-fettuccine/,pasta
8,Sausage cavatelli,https://www.jamieoliver.com/recipes/pasta-recipes/sausage-cavatelli/,pasta
9,Prawn & tuna linguine,https://www.jamieoliver.com/recipes/pasta-recipes/prawn-tuna-linguine/,pasta
10,Asparagus linguine,https://www.jamieoliver.com/recipes/pasta-recipes/asparagus-linguine/,pasta
11,Tortiglioni,https://www.jamieoliver.com/recipes/pasta-recipes/tortiglioni/,pasta
12,Nonna Teresa's pasta,https://www.jamieoliver.com/recipes/pasta-recipes/nonna-teresas-pasta/,pasta
13,Veal ragù cannelloni,https://www.jamieoliver.com/recipes/pasta-recipes/veal-ragu-cannelloni/,pasta
14,Ashley Jensen's Umbrian pasta,https://www.jamieoliver.com/recipes/pasta-recipes/umbrian-pasta/,pasta
15,Sarah Millican's Tuscan sausage & tomato pasta,https://www.jamieoliver.com/recipes/pasta-recipes/sarah-millican-s-tuscan-sausage-tomato-pasta/,pasta
16,Cracker ravioli,https://www.jamieoliver.com/recipes/pasta-recipes/cracker-ravioli/,pasta
17,Pippa's spaghetti Bolognese,https://www.jamieoliver.com/recipes/pasta-recipes/bolognese/,pasta
18,Daisy's macaroni cheese,https://www.jamieoliver.com/recipes/pasta-recipes/daisy-s-macaroni-cheese/,pasta
19,Spicy 'nduja vongole,https://www.jamieoliver.com/recipes/seafood-recipes/spicy-nduja-vongole/,pasta
20,Garlic mushroom pasta,https://www.jamieoliver.com/recipes/mushroom-recipes/garlic-mushroom-pasta/,pasta
21,Easy sausage carbonara,https://www.jamieoliver.com/recipes/pasta-recipes/easy-sausage-carbonara/,pasta
22,Amanda's linguine vongole,https://www.jamieoliver.com/recipes/pasta-recipes/amanda-s-linguine-vongole/,pasta
23,Crab & fennel spaghetti,https://www.jamieoliver.com/recipes/pasta-recipes/crab-fennel-spaghetti/,pasta
24,Super green spaghetti,https://www.jamieoliver.com/recipes/pasta-recipes/super-green-spaghetti/,pasta
25,Lemony courgette linguine,https://www.jamieoliver.com/recipes/pasta-recipes/lemony-courgette-linguine/,pasta
26,Ricotta & Parmesan ravioli,https://www.jamieoliver.com/recipes/pasta-recipes/ricotta-parmesan-ravioli-with-prosciutto-salad/,pasta
27,Carbonara cake,https://www.jamieoliver.com/recipes/pasta-recipes/carbonara-cake/,pasta
28,Mushroom & lentil pappardelle Bolognese,https://www.jamieoliver.com/recipes/pasta-recipes/mushroom-lentil-pappardelle-bolognese/,pasta
29,Squash & ricotta ravioli,https://www.jamieoliver.com/recipes/pasta-recipes/squash-ricotta-ravioli/,pasta
30,Spinach pici pasta,https://www.jamieoliver.com/recipes/pasta-recipes/spinach-pici-pasta/,pasta
31,Mushroom & cauliflower penne,https://www.jamieoliver.com/recipes/pasta-recipes/mushroom-cauliflower-penne/,pasta
32,Tomato & caper linguine,https://www.jamieoliver.com/recipes/pasta-recipes/tomato-caper-linguine/,pasta
33,Christmas carbonara,https://www.jamieoliver.com/recipes/pasta-recipes/christmas-carbonara/,pasta
34,Sausage pasta bake,https://www.jamieoliver.com/recipes/pasta-recipes/sausage-pasta-bake/,pasta
35,Spinach lasagne,https://www.jamieoliver.com/recipes/pasta-recipes/spinach-lasagne/,pasta
36,Spring veg pasta,https://www.jamieoliver.com/recipes/pasta-recipes/spring-veg-pasta/,pasta
37,Pork tonkatsu & noodles,https://www.jamieoliver.com/recipes/pork-recipes/pork-tonkatsu-and-noodles/,pasta
38,Spaghetti atterrati,https://www.jamieoliver.com/recipes/pasta-recipes/spaghetti-atterrati/,pasta
39,Pasta and green olives,https://www.jamieoliver.com/recipes/pasta-recipes/pasta-and-green-olives/,pasta
40,World’s most elegant winter pasta,https://www.jamieoliver.com/recipes/pasta-recipes/world-s-most-elegant-winter-pasta/,pasta
41,Zesty sardine & purple kale spaghetti,https://www.jamieoliver.com/recipes/pasta-recipes/zesty-sardine-purple-kale-spaghetti/,pasta
42,Sicilian spaghetti alla Norma,https://www.jamieoliver.com/recipes/pasta-recipes/sicilian-spaghetti-alla-norma/,pasta
43,"Pappardelle with peas, broad beans & pecorino",https://www.jamieoliver.com/recipes/pasta-recipes/pappardelle-with-peas-broad-beans-pecorino/,pasta
44,Spinach &amp; tortellini soup,https://www.jamieoliver.com/recipes/pasta-recipes/spinach-amp-tortellini-soup/,pasta
45,Double whammy arrabbiata,https://www.jamieoliver.com/recipes/pasta-recipes/double-whammy-arrabbiata/,pasta
46,Casarecce with broccoli & anchovies,https://www.jamieoliver.com/recipes/pasta-recipes/casarecce-with-broccoli-anchovies/,pasta
